num_consumers,num_goods,type_market,noise_scale,target_eps,final_epsilon,total_num_samples,total_pruned_0,total_pruned_1,total_pruned_2
5,10,uniform_random_distribution,1.0,0.1,0.0749767241774657,2110496,32,7,2
5,10,uniform_random_distribution,1.0,0.1,0.07521574677070043,2570208,30,5,3
5,10,uniform_random_distribution,1.0,0.1,0.0749767241774657,1985120,34,7,0
5,10,uniform_random_distribution,1.0,0.1,0.0749767241774657,2110496,34,4,3
5,10,uniform_random_distribution,1.0,0.1,0.07521574677070043,2444832,32,5,1
5,10,uniform_random_distribution,1.0,0.1,0.07489416418366972,1817952,38,3,1
5,10,uniform_random_distribution,1.0,0.1,0.07513746620350908,2382144,33,3,3
5,10,uniform_random_distribution,1.0,0.1,0.07521574677070043,2361248,36,1,1
5,10,uniform_random_distribution,1.0,0.1,0.0749767241774657,2006016,35,5,1
5,10,uniform_random_distribution,1.0,0.1,0.07529269535092739,2612000,32,3,2
5,10,uniform_random_distribution,1.0,0.1,0.0749767241774657,2026912,36,3,2
5,10,uniform_random_distribution,1.0,0.1,0.07551597326688454,3113504,28,3,3
5,10,uniform_random_distribution,1.0,0.1,0.07505780800712952,2298560,35,0,5
5,10,uniform_random_distribution,1.0,0.1,0.07513746620350908,2214976,37,1,1
5,10,uniform_random_distribution,1.0,0.1,0.07489416418366972,1838848,37,4,1
5,10,uniform_random_distribution,1.0,0.1,0.07489416418366972,1901536,38,1,3
5,10,uniform_random_distribution,1.0,0.1,0.07505780800712952,2361248,30,6,4
5,10,uniform_random_distribution,1.0,0.1,0.0749767241774657,2110496,36,1,4
5,10,uniform_random_distribution,1.0,0.1,0.0749767241774657,2047808,37,1,3
5,10,uniform_random_distribution,1.0,0.1,0.07513746620350908,2298560,35,2,2
5,10,uniform_random_distribution,1.0,0.075,0.056170581136172945,3157665,40,1,1
5,10,uniform_random_distribution,1.0,0.075,0.05623250108521926,3492003,37,3,1
5,10,uniform_random_distribution,1.0,0.075,0.05629331391199429,3714894,37,2,1
5,10,uniform_random_distribution,1.0,0.075,0.05635305751460567,4160677,35,1,3
5,10,uniform_random_distribution,1.0,0.075,0.056043257983785726,2860477,40,1,3
5,10,uniform_random_distribution,1.0,0.075,0.055977768235551256,2451843,41,3,1
